"object_id","display_name","object_group","classification","observation_status","theoretical_role","permitted_use","prohibited_use","evidence_stage","evidence_file","source_dataset","source_table","source_line","unit","coverage_start","coverage_end","observation_rows","future_review_required","promotion_to_core_capital","model_control_authorized","family_join_authorized","canonical_dataset_authorized"
"CORP_GOS_SHAIKH_RECONCILIATION","CORP_GOS_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Potential future robustness candidate after human review.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_GVA_SHAIKH_RECONCILIATION","CORP_GVA_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Must flow through GOS/NOS under stock-flow law.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_IMPUTED_INTEREST_ADJ","CORP_IMPUTED_INTEREST_ADJ","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Expected current status for Shaikh corporate adjustment.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","CORP_NOS_EBIT_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","EBIT-like NOS, not corporate profit.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_CFC","FIN_CFC","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_COMP","FIN_COMP","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_DIVIDENDS","FIN_DIVIDENDS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_GVA","FIN_GVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_NET_INT","FIN_NET_INT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
