"object_id","display_name","object_group","classification","observation_status","theoretical_role","permitted_use","prohibited_use","evidence_stage","evidence_file","source_dataset","source_table","source_line","unit","coverage_start","coverage_end","observation_rows","future_review_required","promotion_to_core_capital","model_control_authorized","family_join_authorized","canonical_dataset_authorized"
"ADD_PROFITS_TO_NOS","ADD_PROFITS_TO_NOS","blocked_object","BLOCKED","blocked_no_observations","Violates account ladder.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","no","prohibited","no","no","no"
"OLD_APPENDIX_6_7_LINE_REPLICATION","OLD_APPENDIX_6_7_LINE_REPLICATION","blocked_object","BLOCKED","blocked_no_observations","Historical line numbers cannot be mechanically reused.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_object_admissibility_ledger","","","","","","0","no","prohibited","no","no","no"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","blocked_object","BLOCKED","blocked_no_observations","Financial corporate components are claims/appropriation channels, not productive capital.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","no","prohibited","no","no","no"
"QWEN_HOUSING_PROXY_PATHS","QWEN_HOUSING_PROXY_PATHS","blocked_object","BLOCKED","blocked_no_observations","Qwen proxy paths are subordinate hypotheses and outside corporate Appendix correction.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_object_admissibility_ledger","","","","","","0","no","prohibited","no","no","no"
"INVENTORIES_MENU","INVENTORIES_MENU","diagnostic_or_contextual_exclusion","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","Optional circulation stock-flow diagnostic.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_GOS_SHAIKH_RECONCILIATION","CORP_GOS_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Potential future robustness candidate after human review.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_GVA_SHAIKH_RECONCILIATION","CORP_GVA_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Must flow through GOS/NOS under stock-flow law.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_IMPUTED_INTEREST_ADJ","CORP_IMPUTED_INTEREST_ADJ","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Expected current status for Shaikh corporate adjustment.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","CORP_NOS_EBIT_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","EBIT-like NOS, not corporate profit.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_CFC","FIN_CFC","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_COMP","FIN_COMP","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_DIVIDENDS","FIN_DIVIDENDS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_GVA","FIN_GVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_NET_INT","FIN_NET_INT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_NOS","FIN_NOS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_NVA","FIN_NVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_PBT","FIN_PBT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN_TRANSFERS","FIN_TRANSFERS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt404","34","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt407","34","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt401","34","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
