"audit_item","constructed_count","status","evidence"
"derived_variables_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"analytical_variables_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"capital_stock_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"output_variable_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"distribution_variable_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"investment_or_accumulation_variable_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"relative_price_or_q_variable_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"adjusted_shaikh_objects_constructed",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"modeling_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"econometric_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"gpim_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"theta_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"productive_capacity_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"utilization_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
"accumulated_q_outputs_created",0,"PASS","S28 emits sequencing and authorization-control artifacts only."
