variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,constructibility_status,allowed_use,prohibited_use,downstream_stage,notes,provider_release_commit,s21_intake_status,object_admissibility,can_enter_model_input_preparation,can_enter_modeling,can_construct_adjusted_shaikh,blocked_or_parked_status,s22_disposition,s22_planning_allowed,can_construct_variable_now,can_model_now,can_construct_adjusted_shaikh_now,provider_v1_commit,s21_commit,s22_notes
CORP__IPP__official_price_index,CORP_intellectual_property_products_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__ME__official_price_index,CORP_machinery_equipment_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__NRC__official_price_index,CORP_nonresidential_structures_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__TOTAL__official_price_index,CORP_total_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP_AFTER_TAX,CORP_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
CORP_PAT,CORP_profits_after_tax,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
CORP_TAX,CORP_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
CORP_UNDISTRIBUTED,CORP_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__IPP__cfc_current_cost,FIN_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__IPP__gross_investment_current_cost,FIN_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
