"variable_id","sector_boundary","output_concept","nominal_or_real","role","status","audit_status","notes"
"Y_REAL_NFC_GVA_BASELINE","NFC","GVA","real","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","D07 panel presence matches authorized output/value-added role."
"NFC_GVA","NFC","GVA","nominal","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","D07 panel presence matches authorized output/value-added role."
"NFC_NVA","NFC","NVA","nominal","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","D07 panel presence matches authorized output/value-added role."
"CORP_GVA","CORP","GVA","nominal","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","D07 panel presence matches authorized output/value-added role."
"CORP_NVA","CORP","NVA","nominal","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","D07 panel presence matches authorized output/value-added role."
"FIN_GVA","FIN","GVA","nominal","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"FIN_NVA","FIN","NVA","nominal","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"gva_real_or_qindex_corp","CORP","GVA","real","blocked","BLOCKED_BOUNDARY_CONFLICT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"gva_real_or_qindex_fc","FIN","GVA","real","blocked","BLOCKED_BOUNDARY_CONFLICT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","NFC","deflator_or_price_support","price_index","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","D07 panel presence matches authorized output/value-added role."
"P_Y_NFC_GVA_T115_VALIDATION","NFC","deflator_or_price_support","price_index","diagnostic","DIAGNOSTIC_ONLY","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_PROXY_GDP_IMPLICIT","TOTAL_ECONOMY","deflator_or_price_support","price_index","frontier_conditioning","PARKED_FRONTIER_CONTEXT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","NONFARM_BUSINESS","deflator_or_price_support","price_index","frontier_conditioning","PARKED_FRONTIER_CONTEXT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_PROXY_BUSINESS_OUTPUT","BUSINESS_SECTOR","deflator_or_price_support","price_index","frontier_conditioning","PARKED_FRONTIER_CONTEXT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","NONFARM_BUSINESS_SECTOR","deflator_or_price_support","price_index","frontier_conditioning","PARKED_FRONTIER_CONTEXT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","FINANCE_AND_INSURANCE_INDUSTRY","deflator_or_price_support","price_index","frontier_conditioning","PARKED_FRONTIER_CONTEXT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","MANUFACTURING_INDUSTRY","deflator_or_price_support","price_index","frontier_conditioning","PARKED_FRONTIER_CONTEXT","PASS","Absent from panel as required by D07-0 status or blocked real-output rule."
