"check_id","status","evidence"
"S12D_B_ALL_VALIDATIONS_PASS","PASS","21/21 S12D-B validation rows are PASS."
"S12D_B_VALIDATION_ROW_COUNT","PASS","Observed 21 validation rows; required 21."
"S12D_B_AUTHORIZES_S12D_C_NEXT","PASS","AUTHORIZE_S12D_C token and explicit next-step statement present: yes."
"SFC_RECONSTRUCTION_ME_PRESENT","PASS","Observed 1 ME reconstruction rows."
"SFC_RECONSTRUCTION_NRC_PRESENT","PASS","Observed 1 NRC reconstruction rows."
"SFC_MAX_ABSOLUTE_RESIDUAL_BELOW_TOLERANCE","PASS","Observed maximum absolute residual = 5.5879354e-09 million; required < 1e-06 million."
"ME_RECOVERY_SPAN_1925_2024","PASS","Observed ME span 1925-2024."
"NRC_RECOVERY_SPAN_1931_2024","PASS","Observed NRC span 1931-2024."
"OBJECT_ROLE_LEDGER_ROW_COUNT","PASS","Observed 16 role-ledger rows; required 16."
"OBJECT_ROLE_LEDGER_ASSETS","PASS","Observed asset blocks: ME, NRC."
"OBJECT_ROLE_LEDGER_COMPLETE_UNIQUE_GRID","PASS","Observed 16 unique asset-role combinations; required 16."
"BASELINE_USE_YES_EXACT_ROLE_SET","PASS","Observed baseline_use=yes roles: DIRECT_NOMINAL_INVESTMENT_CANONICAL, GROSS_SURVIVAL_GPIM_STOCK_BASELINE, REAL_INVESTMENT_BASELINE, SFC_IMPLICIT_BASELINE_PRICE."
"BASELINE_USE_NO_EXACT_ROLE_SET","PASS","Observed baseline_use=no roles: FAAt402_VALIDATION_ONLY, NET_VALUE_GPIM_STOCK_DIAGNOSTIC, OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY, PRODUCTIVE_EFFICIENCY_NOT_CONSTRUCTED."
"PRICE_BOUNDARY_COMPARISON_PRESENT_NONEMPTY","PASS","Price-boundary comparison exists with 190 rows."
"CONSUMPTION_CONTRACT_COMPLETE","PASS","Constructed 16 contract rows with no unmapped roles: yes."
