object_id,candidate_status,s22_planning_allowed,source_observation_rows,dependency_status,missing_dependency,required_before_construction,notes,s23_resolution_action,can_construct_in_s23,priority
CORP__IPP__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__ME__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__NRC__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__TOTAL__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP_AFTER_TAX,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_PAT,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_TAX,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_UNDISTRIBUTED,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__IPP__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__IPP__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__IPP__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__IPP__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__IPP__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__IPP__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__ME__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__ME__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__ME__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__ME__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__ME__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__ME__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__NRC__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__NRC__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
