"variable_id","status","consumed_in_panel","notes"
"q_omega_Kcapacity","PARKED_TRANSFORMATION_UNTIL_NEW_COMMAND","NO","User explicitly parked q_omega family."
"q_omega_ME","PARKED_TRANSFORMATION_UNTIL_NEW_COMMAND","NO","User explicitly parked q_omega family."
"q_omega_NRC","PARKED_TRANSFORMATION_UNTIL_NEW_COMMAND","NO","User explicitly parked q_omega family."
"q_exploitation","PARKED_TRANSFORMATION_UNTIL_NEW_COMMAND","NO","User explicitly parked q_omega family."
"distribution-weighted accumulation indexes","PARKED_TRANSFORMATION_UNTIL_NEW_COMMAND","NO","User explicitly parked q_omega family."
"lagged-wage-share-weighted Delta logK indexes","PARKED_TRANSFORMATION_UNTIL_NEW_COMMAND","NO","User explicitly parked q_omega family."
"total capital","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
"total fixed assets","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
"IPP","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
"residential capital","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
"government transportation","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
"all BEA fixed assets","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
"D09-S sensitivity stocks","BLOCKED_FROM_BASELINE","NO","Baseline boundary exclusion."
