asset_id,mechanism_family,support_type,candidate_observables_helped,candidate_variables_helped,role_in_hardening,confidence
ASSET_003,financial_strangulation,source_routing,foreign-exchange pressure; credit denial; debt rollover stress,credit-access marker; foreign-exchange constraint indicator,"Best bibliographic cleanup aid for Harmer, Griffith-Jones, Palma, and adjacent thin-dimension anchors.",high
ASSET_004,security_doctrine_legitimation,periodization_support,anti-communist framing; hemispheric security claims; institutional doctrine,security framing marker; coercive institutional indicator,"Best pre-UP sequencing aid for anti-communist reformism, state formation, and the 1957 threshold.",high
ASSET_005,financial_strangulation,source_routing,foreign-exchange pressure; credit denial; debt rollover stress,credit-access marker; foreign-exchange constraint indicator,"Functional source ledger that surfaces finance, dominant-class, and transition-to-socialism references.",high
ASSET_006,transnational_corporate_retaliation,source_routing,multinational pressure; disinvestment threats; supply leverage,corporate pressure marker; transnational leverage indicator,"High-value literature router for Atlantic Fordism, dependency, finance, raw materials, and class formation.",high
ASSET_007,financial_strangulation,overlap_support,foreign-exchange pressure; credit denial; debt rollover stress,credit-access marker; foreign-exchange constraint indicator,"Useful historiographic router, but it points to a wider literature bundle and should not outrank corridor materials.",medium
ASSET_008,financial_strangulation,variable_support,foreign-exchange pressure; credit denial; debt rollover stress,credit-access marker; foreign-exchange constraint indicator,Best anti-drift asset for converting mechanisms into observables and keeping claims tied to evidentiary burden.,high
ASSET_010,trade_channel_disruption,mechanism_support,import bottlenecks; spare-parts shortages; shipping disruptions,import-delay marker; logistics bottleneck indicator,"Strong mechanism skeleton for blockage, shortage, sabotage, copper, and external pressure.",high
ASSET_012,financial_strangulation,periodization_support,foreign-exchange pressure; credit denial; debt rollover stress,credit-access marker; foreign-exchange constraint indicator,"Best sequencing aid for foreign-exchange pressure, anti-communist containment, and 1970-1973 turbulence.",high
ASSET_013,commodity_sovereignty_conflict,drafting_support,copper revenue shocks; nationalization disputes; royalty claims,copper sovereignty conflict marker; export-revenue stress indicator,"Citation-rich prose reservoir with useful pointers on copper, spare parts, dollar scarcity, and corporate retaliation. Do not treat as evidence.",medium
ASSET_019,diplomatic_isolation,overlap_support,recognition narrowing; alliance loss; diplomatic signaling,diplomatic narrowing marker; alliance-structure indicator,Best bridge note for overlap routing between corridor materials and AR-facing hinge work.,high
ASSET_020,financial_strangulation,workflow_control,foreign-exchange pressure; credit denial; debt rollover stress,credit-access marker; foreign-exchange constraint indicator,"Explicit bridge note for how the asset layer should support, not replace, the WS corridor.",high
ASSET_038,security_doctrine_legitimation,context_only,anti-communist framing; hemispheric security claims; institutional doctrine,security framing marker; coercive institutional indicator,"Background PDF stored inside the mirror bundle. Treat as reservoir or follow-up candidate, not as WS evidence by default.",medium
