asset_id,relative_path,asset_title,asset_family,asset_function,supports_ws_corridor,supports_ar_corridor,supports_overlap,ws_dimension_primary,ws_dimension_secondary,mechanism_family,support_role,evidentiary_role,drafting_role,periodization_role,usable_for_codex,usable_for_deepread_prioritization,usable_for_variable_hardening,translation_risk,status,comments
ASSET_001,docs/chile_project_assets/00_index/chile_assets_integration_log.md,Chile Assets Integration Log,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,none,with_caution,no,no,low,context_only,"Explains the curation logic of the bundle. Keep as provenance, not as operational support."
ASSET_002,docs/chile_project_assets/00_index/chile_assets_master_index.md,Chile Assets Master Index,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,low,yes,yes,no,low,keep_active,Best discovery index for the active asset layer and the fastest Codex entry point before routing assets by function.
ASSET_003,docs/chile_project_assets/01_source_control/bibliografia_y_auditoria.md,Bibliografia y auditoria,source_control,bibliography_audit,yes,yes,yes,External constraint / balance-of-payments / trade dependency,U.S. interventionism,financial_strangulation,source_routing,indirect,low,low,yes,yes,partial,low,keep_active,"Best bibliographic cleanup aid for Harmer, Griffith-Jones, Palma, and adjacent thin-dimension anchors."
ASSET_004,docs/chile_project_assets/01_source_control/corpus_backbone_maps/source_integration_map_1925_1958.md,Source Integration Map 1925-1958 Backbone,source_control,source_integration_map,yes,yes,yes,Inter-American order / hemispheric security doctrine,U.S. interventionism,security_doctrine_legitimation,periodization_support,indirect,low,high,yes,yes,no,low,keep_active,"Best pre-UP sequencing aid for anti-communist reformism, state formation, and the 1957 threshold."
ASSET_005,docs/chile_project_assets/01_source_control/ledger_de_fuentes.md,Ledger de fuentes,source_control,ledger,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Transnational capital / multinational corporate power,financial_strangulation,source_routing,indirect,low,medium,yes,yes,partial,low,keep_active,"Functional source ledger that surfaces finance, dominant-class, and transition-to-socialism references."
ASSET_006,docs/chile_project_assets/01_source_control/reference_master_ledgers/industrial_patronage_reference_master_ledger.md,Industrial Patronage Reference Master Ledger,source_control,ledger,yes,yes,yes,Transnational capital / multinational corporate power,External constraint / balance-of-payments / trade dependency,transnational_corporate_retaliation,source_routing,indirect,medium,medium,yes,yes,yes,low,keep_active,"High-value literature router for Atlantic Fordism, dependency, finance, raw materials, and class formation."
ASSET_007,docs/chile_project_assets/01_source_control/reference_master_ledgers/master_ledger.md,Master Ledger: Schools of Thought on the Political Economy of the UP,source_control,ledger,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Crisis of Atlantic Fordism / world monetary disorder,financial_strangulation,overlap_support,indirect,medium,medium,with_caution,yes,partial,medium,reserve,"Useful historiographic router, but it points to a wider literature bundle and should not outrank corridor materials."
ASSET_008,docs/chile_project_assets/02_argument_architecture/argument_evidence_matrix.md,Argument-Evidence Matrix,argument_architecture,argument_map,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Strategic commodities / copper / resource sovereignty,financial_strangulation,variable_support,secondary_support,medium,high,yes,yes,yes,low,keep_active,Best anti-drift asset for converting mechanisms into observables and keeping claims tied to evidentiary burden.
ASSET_009,docs/chile_project_assets/02_argument_architecture/dissertation_reframing_workbench.md,Dissertation Reframing Workbench,argument_architecture,reframing_workbench,yes,yes,yes,Crisis of Atlantic Fordism / world monetary disorder,Transnational capital / multinational corporate power,unclear,overlap_support,none,high,medium,with_caution,yes,partial,medium,reserve,Useful comparative-relational framing notebook. Keep it subordinate to source-first extraction.
ASSET_010,docs/chile_project_assets/02_argument_architecture/mapa_argumental.md,Mapa argumental,argument_architecture,argument_map,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Strategic commodities / copper / resource sovereignty,trade_channel_disruption,mechanism_support,indirect,medium,medium,yes,yes,yes,low,keep_active,"Strong mechanism skeleton for blockage, shortage, sabotage, copper, and external pressure."
ASSET_011,docs/chile_project_assets/02_argument_architecture/paper_conversion_blueprint.md,Paper Conversion Blueprint,argument_architecture,argument_map,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,low,with_caution,no,no,medium,context_only,"Drafting conversion aid. It helps packaging, not WS source control."
ASSET_012,docs/chile_project_assets/02_argument_architecture/periodization_control_sheet.md,Periodization Control Sheet,argument_architecture,periodization_control,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Crisis of Atlantic Fordism / world monetary disorder,financial_strangulation,periodization_support,secondary_support,medium,high,yes,yes,yes,low,keep_active,"Best sequencing aid for foreign-exchange pressure, anti-communist containment, and 1970-1973 turbulence."
ASSET_013,docs/chile_project_assets/03_manuscript_reservoir/industrial_patronage_english_apa.md,Industrial Patronage English APA Manuscript Reservoir,manuscript_reservoir,manuscript,yes,yes,yes,Transnational capital / multinational corporate power,Strategic commodities / copper / resource sovereignty,commodity_sovereignty_conflict,drafting_support,secondary_support,high,medium,with_caution,yes,partial,high,reserve,"Citation-rich prose reservoir with useful pointers on copper, spare parts, dollar scarcity, and corporate retaliation. Do not treat as evidence."
ASSET_014,docs/chile_project_assets/03_manuscript_reservoir/nota_maestra.md,Nota maestra,manuscript_reservoir,manuscript,yes,yes,yes,External constraint / balance-of-payments / trade dependency,unclear,unclear,drafting_support,none,high,medium,with_caution,no,partial,high,reserve,"Stable prose reservoir and synthesis notebook. Useful for memory, not for evidence claims."
ASSET_015,docs/chile_project_assets/04_communication/abstracts_and_pitch_versions.md,Abstracts and Pitch Versions,communication,talk_script,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,none,no,no,no,high,context_only,Communication packaging only. Keep out of WS operations and evidence claims.
ASSET_016,docs/chile_project_assets/04_communication/handout_one_page.md,Handout One Page,communication,handout,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,none,no,no,no,high,context_only,"Handout packaging only. Useful for presentations, not for source routing."
ASSET_017,docs/chile_project_assets/04_communication/talk_script_12_minutes.md,Talk Script 12 Minutes,communication,talk_script,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,none,no,no,no,high,context_only,Talk script only. It should stay outside evidence and variable-building workflows.
