"check","status","notes"
"Q_OMEGA_PARKED","PASS","Blocked/parked ledger carries q_omega parking rows."
"NO_Q_OMEGA_COLUMNS","PASS",""
"NO_D09_S_SENSITIVITY_STOCK_BASELINE","PASS","Confirmed from D10 validation checks."
"ME_L14_NRC_L30_RECONFIRMED","PASS","D10 validation recorded ME L14 alpha1.7 and NRC L30 alpha1.6."
"K_CAPACITY_EQUALS_ME_PLUS_NRC_STATUS_RECONFIRMED","PASS","D10 validation identity check remains PASS."
"NO_TOTAL_CAPITAL_BASELINE","PASS","Confirmed from D10 validation checks."
"NO_IPP_BASELINE","PASS","Confirmed from D10 validation checks."
"NO_RESIDENTIAL_BASELINE","PASS","Confirmed from D10 validation checks."
"NO_GOV_TRANSPORT_BASELINE","PASS","Confirmed from D10 validation checks."
"NO_ALL_BEA_FIXED_ASSETS_BASELINE","PASS","Confirmed from D10 validation checks."
