"object_id","status","reason"
"WAGE_SHARE_UNADJUSTED_BASELINE","BLOCKED_PENDING_AUTHORIZED_WAGE_SHARE_SOURCE","No current authorized unadjusted wage-share source contract exists."
"PROFIT_SHARE_ALTERNATIVE_RECONCILIATION","ALTERNATIVE_OR_RECONCILIATION_EVIDENCE_ONLY","Profit share can reconcile a future wage-share lane but cannot replace it."
"SHAIKH_ADJUSTED_WAGE_SHARE","BLOCKED_PENDING_CROSSWALK_AND_DATA","No current-release semantic/accounting crosswalk plus data contract passes."
"SHAIKH_ADJUSTED_PROFIT_SHARE","BLOCKED_PENDING_CROSSWALK_AND_DATA","No current-release semantic/accounting crosswalk plus data contract passes."
"ACCUMULATED_Q","ACCUMULATED_Q_PARKED_S21_CLOSED","Accumulated q remains parked; S21 remains closed."
"S21_ACCUMULATED_Q_LAYER","ACCUMULATED_Q_PARKED_S21_CLOSED","S20B does not authorize S21."
"IPP_FRONTIER_CONDITIONER","PARKED_CONTROL_CONDITIONER_NOT_BASELINE","Frontier conditioner remains out of the baseline attachment."
"GOV_TRANS_FRONTIER_CONDITIONER","PARKED_CONTROL_CONDITIONER_NOT_BASELINE","Frontier conditioner remains out of the baseline attachment."
"THETA_T","EXCLUDED_DATA_ARCHITECTURE_ONLY","S20B is data architecture only."
"PRODUCTIVE_CAPACITY_Y_P","EXCLUDED_DATA_ARCHITECTURE_ONLY","S20B is data architecture only."
"CAPACITY_UTILIZATION_MU","EXCLUDED_DATA_ARCHITECTURE_ONLY","S20B is data architecture only."
