"check","status","notes"
"Q_OMEGA_PARKED","PASS","D10 blocked/parked ledger retains q_omega parking."
"NO_Q_OMEGA_COLUMNS","PASS",""
"NO_D09_S_SENSITIVITY_STOCK_BASELINE","PASS","Rerun D10 validation."
"ME_L14_NRC_L30_RECONFIRMED","PASS","Rerun D10 validation."
"K_CAPACITY_EQUALS_ME_PLUS_NRC_STATUS_RECONFIRMED","PASS","Rerun D10 validation."
"NO_TOTAL_CAPITAL_BASELINE","PASS","Rerun D10 validation."
"NO_TOTAL_FIXED_ASSETS_BASELINE","PASS","Rerun D10 validation."
"NO_IPP_BASELINE","PASS","Rerun D10 validation."
"NO_RESIDENTIAL_BASELINE","PASS","Rerun D10 validation."
"NO_GOV_TRANSPORT_BASELINE","PASS","Rerun D10 validation."
"NO_ALL_BEA_FIXED_ASSETS_BASELINE","PASS","Rerun D10 validation."
"NO_ECONOMETRICS_RUN","PASS","Rerun D10 validation."
"NO_MODEL_ESTIMATION_RUN","PASS","Rerun D10 validation."
"NO_STATIONARITY_TESTS_RUN","PASS","Rerun D10 validation."
"NO_INTEGRATION_TESTS_RUN","PASS","Rerun D10 validation."
"NO_COINTEGRATION_TESTS_RUN","PASS","Rerun D10 validation."
