"object","prior_status","final_status","notes"
"D10_ORIGINAL_DECISION","REQUIRE_D10_RECONCILIATION","SUPERSEDED_BY_D10R3_CLOSURE","Original decision reflected unavailable Rscript in first shell."
"D10_INITIAL_R_ENVIRONMENT_FAILURE","Rscript unavailable on PATH","RECORDED_AS_PROVENANCE_SUPERSEDED_BY_ABSOLUTE_RSCRIPT_SUCCESS","Absolute Rscript path is available."
"D10_R_ABSOLUTE_RSCRIPT_SUCCESS","D10-R found absolute Rscript","PASS","Rscript (R) version 4.6.1 (2026-06-24)"
"D10_RERUN_VALIDATION","D10-R reported 52/52 PASS","PASS_52_OF_52","52/52 PASS"
"D10_HASH_DIFFERENCE_CLASSIFICATION","D10-R2 required body regeneration","ALL_PRIOR_DIFFERENCES_NON_SUBSTANTIVE","Rerun bodies preserved and compared."
"D10_CORE_CSV_AUDIT","D10-R shapes matched","PASS","6/9 core CSVs pass parsed-value audit."
"D10_QOMEGA_STATUS","PARKED","PARKED_NO_COLUMNS_CREATED","No q_omega-family columns found."
"D10_BASELINE_BOUNDARY_STATUS","ME L14 + NRC L30","ME_L14_NRC_L30_KCAP_ME_PLUS_NRC_RECONFIRMED","Rerun D10 validation boundary checks pass."
"D10_CORPORATE_CLEAN_STATUS","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY","CANDIDATE_CROSSWALK_NOT_MODEL_READY","No crosswalk promotion."
"D10_FINANCIAL_IMPUTED_INTEREST_STATUS","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY","CANDIDATE_CROSSWALK_NOT_MODEL_READY","No crosswalk promotion."
"D10_TAX_SUBSIDY_TRANSFER_STATUS","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;AUTHORIZED_TRANSFER_RECONCILIATION;NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE_NOT_BASELINE_REGRESSOR","Preserved as accounting/bridge."
"D10_EXPLOITATION_RATE_STATUS","ALTERNATIVE_DISTRIBUTIVE_CONSTRUCTION_CONTRACT;NOT_MODEL_READY","CONSTRUCTION_CONTRACT_NOT_MODEL_READY","No final exploitation-rate series forced."
"D10_RECONCILIATION_FINAL_STATUS","REQUIRE_D10R_COMPARISON_ARTIFACT_REGENERATION","REQUIRE_D10_OUTPUT_RECONCILIATION","D10-R3 preserved rerun bodies and narrowed remaining issue to review-required metadata output reconciliation."
